date,symbol,quality_n,volume_n,volume_n_clean
2026-07-06,ACB,4,49,31
2026-07-06,ANV,1,5,4
2026-07-06,BAF,1,2,2
2026-07-06,BCM,0,17,13
2026-07-06,BID,3,43,34
2026-07-06,BMP,0,3,3
2026-07-06,BSI,0,28,12
2026-07-06,BSR,0,147,128
2026-07-06,BVH,0,13,12
2026-07-06,BWE,0,1,0
2026-07-06,CII,3,145,129
2026-07-06,CMG,1,3,2
2026-07-06,CTD,0,7,3
2026-07-06,CTG,2,59,55
2026-07-06,CTR,0,14,13
2026-07-06,CTS,0,68,51
2026-07-06,DBC,0,17,15
2026-07-06,DCM,1,43,42
2026-07-06,DGW,1,12,10
2026-07-06,DIG,0,82,74
2026-07-06,DPM,1,25,23
2026-07-06,DSE,0,1,1
2026-07-06,DXG,0,76,72
2026-07-06,DXS,0,15,15
2026-07-06,EIB,1,46,43
2026-07-06,EVF,0,26,26
2026-07-06,FPT,2,131,123
2026-07-06,FRT,0,8,8
2026-07-06,FTS,0,38,37
2026-07-06,GAS,2,41,36
2026-07-06,GEE,1,135,129
2026-07-06,GEX,0,86,84
2026-07-06,GMD,0,12,12
2026-07-06,GVR,0,16,13
2026-07-06,HAG,1,16,16
2026-07-06,HCM,0,21,18
2026-07-06,HDB,2,26,25
2026-07-06,HDC,0,20,20
2026-07-06,HDG,1,116,114
2026-07-06,HHV,0,23,23
2026-07-06,HPG,2,111,102
2026-07-06,HSG,1,18,18
2026-07-06,HT1,0,3,3
2026-07-06,IMP,1,1,1
2026-07-06,KBC,0,9,8
2026-07-06,KDC,2,1,0
2026-07-06,KDH,0,54,54
2026-07-06,KOS,1,0,0
2026-07-06,LPB,1,22,21
2026-07-06,MBB,2,43,41
2026-07-06,MSB,0,12,12
2026-07-06,MSN,0,77,77
2026-07-06,MWG,2,15,15
2026-07-06,NAB,1,8,8
2026-07-06,NKG,1,33,33
2026-07-06,NLG,0,13,13
2026-07-06,NT2,0,7,7
2026-07-06,NVL,2,119,119
2026-07-06,OCB,0,18,18
2026-07-06,PAN,0,5,5
2026-07-06,PC1,0,79,77
2026-07-06,PDR,1,123,123
2026-07-06,PHR,1,3,3
2026-07-06,PLX,1,65,64
2026-07-06,PNJ,5,114,113
2026-07-06,POW,0,109,108
2026-07-06,PVD,0,15,15
2026-07-06,PVT,0,24,24
2026-07-06,REE,0,27,27
2026-07-06,SAB,0,19,19
2026-07-06,SBT,0,0,0
2026-07-06,SCS,0,3,3
2026-07-06,SHB,1,127,125
2026-07-06,SIP,0,0,0
2026-07-06,SJS,0,0,0
2026-07-06,SSB,2,3,3
2026-07-06,SSI,1,99,96
2026-07-06,STB,1,7,7
2026-07-06,SZC,0,31,31
2026-07-06,TCB,0,18,18
2026-07-06,TCH,0,74,74
2026-07-06,TPB,1,38,37
2026-07-06,VCB,3,22,22
2026-07-06,VCG,0,17,17
2026-07-06,VCI,0,59,59
2026-07-06,VGC,1,9,9
2026-07-06,VHC,0,10,10
2026-07-06,VHM,2,106,106
2026-07-06,VIB,0,30,30
2026-07-06,VIC,3,39,37
2026-07-06,VIX,0,106,106
2026-07-06,VJC,0,4,3
2026-07-06,VND,0,74,74
2026-07-06,VNM,1,31,31
2026-07-06,VPB,2,28,28
2026-07-06,VPI,0,0,0
2026-07-06,VPL,0,7,7
2026-07-06,VRE,1,50,50
2026-07-06,VSC,0,51,51
2026-07-06,VTP,0,11,11
2026-07-07,ACB,3,38,18
2026-07-07,ANV,0,2,1
2026-07-07,BAF,0,1,1
2026-07-07,BCM,1,16,14
2026-07-07,BID,1,37,23
2026-07-07,BMP,0,1,1
2026-07-07,BSI,0,58,20
2026-07-07,BSR,0,142,117
2026-07-07,BVH,0,19,17
2026-07-07,BWE,0,1,1
2026-07-07,CII,2,88,64
2026-07-07,CMG,0,2,2
2026-07-07,CTD,0,28,26
2026-07-07,CTG,1,44,43
2026-07-07,CTR,0,9,8
2026-07-07,CTS,1,108,88
2026-07-07,DBC,0,30,26
2026-07-07,DCM,0,25,22
2026-07-07,DGW,0,14,11
2026-07-07,DIG,1,131,117
2026-07-07,DPM,0,19,18
2026-07-07,DSE,0,1,1
2026-07-07,DXG,1,70,66
2026-07-07,DXS,0,15,15
2026-07-07,EIB,0,41,39
2026-07-07,EVF,0,11,10
2026-07-07,FPT,2,137,122
2026-07-07,FRT,2,5,5
2026-07-07,FTS,0,38,31
2026-07-07,GAS,0,18,18
2026-07-07,GEE,3,95,91
2026-07-07,GEX,0,93,85
2026-07-07,GMD,0,14,13
2026-07-07,GVR,0,19,17
2026-07-07,HAG,2,15,15
2026-07-07,HCM,2,35,26
2026-07-07,HDB,1,64,61
2026-07-07,HDC,0,17,16
2026-07-07,HDG,2,130,129
2026-07-07,HHV,0,17,17
2026-07-07,HPG,3,109,103
2026-07-07,HSG,0,35,34
2026-07-07,HT1,1,5,5
2026-07-07,IMP,0,0,0
2026-07-07,KBC,2,6,4
2026-07-07,KDC,4,2,1
2026-07-07,KDH,1,61,61
2026-07-07,KOS,0,0,0
2026-07-07,LPB,1,31,29
2026-07-07,MBB,3,38,36
2026-07-07,MSB,0,11,11
2026-07-07,MSN,0,135,135
2026-07-07,MWG,1,11,11
2026-07-07,NAB,0,4,4
2026-07-07,NKG,0,28,27
2026-07-07,NLG,0,9,9
2026-07-07,NT2,0,3,3
2026-07-07,NVL,2,65,65
2026-07-07,OCB,0,14,14
2026-07-07,PAN,1,2,2
2026-07-07,PC1,1,45,44
2026-07-07,PDR,0,99,99
2026-07-07,PHR,0,4,4
2026-07-07,PLX,0,68,68
2026-07-07,PNJ,7,143,143
2026-07-07,POW,0,60,60
2026-07-07,PVD,0,40,40
2026-07-07,PVT,1,39,39
2026-07-07,REE,0,9,9
2026-07-07,SAB,0,6,6
2026-07-07,SBT,0,0,0
2026-07-07,SCS,0,2,2
2026-07-07,SHB,1,136,136
2026-07-07,SIP,0,1,1
2026-07-07,SJS,1,1,1
2026-07-07,SSB,1,4,3
2026-07-07,SSI,0,95,93
2026-07-07,STB,2,16,16
2026-07-07,SZC,0,14,13
2026-07-07,TCB,2,28,26
2026-07-07,TCH,0,48,47
2026-07-07,TPB,0,44,44
2026-07-07,VCB,0,23,23
2026-07-07,VCG,1,15,15
2026-07-07,VCI,0,90,90
2026-07-07,VGC,0,5,5
2026-07-07,VHC,0,2,2
2026-07-07,VHM,3,113,112
2026-07-07,VIB,0,14,14
2026-07-07,VIC,0,43,42
2026-07-07,VIX,1,91,91
2026-07-07,VJC,1,1,1
2026-07-07,VND,0,80,80
2026-07-07,VNM,1,27,27
2026-07-07,VPB,0,16,15
2026-07-07,VPI,0,0,0
2026-07-07,VPL,0,5,5
2026-07-07,VRE,0,36,36
2026-07-07,VSC,1,50,50
2026-07-07,VTP,2,12,12
2026-07-08,ACB,0,66,32
2026-07-08,ANV,0,26,25
2026-07-08,BAF,0,0,0
2026-07-08,BCM,1,12,10
2026-07-08,BID,1,40,28
2026-07-08,BMP,0,4,4
2026-07-08,BSI,0,31,7
2026-07-08,BSR,5,146,120
2026-07-08,BVH,0,5,3
2026-07-08,BWE,1,1,1
2026-07-08,CII,0,74,58
2026-07-08,CMG,0,5,3
2026-07-08,CTD,0,12,9
2026-07-08,CTG,1,67,64
2026-07-08,CTR,0,10,10
2026-07-08,CTS,2,88,60
2026-07-08,DBC,1,49,46
2026-07-08,DCM,0,57,52
2026-07-08,DGW,0,14,12
2026-07-08,DIG,1,136,132
2026-07-08,DPM,1,85,85
2026-07-08,DSE,1,0,0
2026-07-08,DXG,0,95,87
2026-07-08,DXS,0,12,11
2026-07-08,EIB,0,31,29
2026-07-08,EVF,1,12,10
2026-07-08,FPT,5,143,140
2026-07-08,FRT,0,5,4
2026-07-08,FTS,0,25,19
2026-07-08,GAS,0,36,27
2026-07-08,GEE,0,33,32
2026-07-08,GEX,0,50,50
2026-07-08,GMD,0,14,12
2026-07-08,GVR,0,7,5
2026-07-08,HAG,2,26,24
2026-07-08,HCM,1,31,27
2026-07-08,HDB,2,23,21
2026-07-08,HDC,1,11,10
2026-07-08,HDG,1,47,47
2026-07-08,HHV,0,24,24
2026-07-08,HPG,0,86,80
2026-07-08,HSG,0,33,31
2026-07-08,HT1,0,4,4
2026-07-08,IMP,0,1,0
2026-07-08,KBC,1,10,8
2026-07-08,KDC,1,0,0
2026-07-08,KDH,0,40,39
2026-07-08,KOS,0,0,0
2026-07-08,LPB,1,13,12
2026-07-08,MBB,1,73,72
2026-07-08,MSB,0,12,11
2026-07-08,MSN,0,138,135
2026-07-08,MWG,0,16,16
2026-07-08,NAB,1,4,4
2026-07-08,NKG,0,34,34
2026-07-08,NLG,0,5,5
2026-07-08,NT2,2,3,3
2026-07-08,NVL,1,105,105
2026-07-08,OCB,0,23,22
2026-07-08,PAN,0,2,2
2026-07-08,PC1,0,26,25
2026-07-08,PDR,0,130,130
2026-07-08,PHR,0,3,3
2026-07-08,PLX,1,53,52
2026-07-08,PNJ,10,132,131
2026-07-08,POW,0,61,61
2026-07-08,PVD,0,28,28
2026-07-08,PVT,0,28,28
2026-07-08,REE,0,9,9
2026-07-08,SAB,0,6,5
2026-07-08,SBT,0,1,1
2026-07-08,SCS,0,6,6
2026-07-08,SHB,0,137,137
2026-07-08,SIP,0,0,0
2026-07-08,SJS,0,0,0
2026-07-08,SSB,1,3,3
2026-07-08,SSI,2,112,111
2026-07-08,STB,1,9,9
2026-07-08,SZC,0,24,24
2026-07-08,TCB,1,38,38
2026-07-08,TCH,0,28,28
2026-07-08,TPB,1,59,59
2026-07-08,VCB,1,12,11
2026-07-08,VCG,0,14,14
2026-07-08,VCI,0,114,113
2026-07-08,VGC,0,1,1
2026-07-08,VHC,0,4,4
2026-07-08,VHM,3,102,101
2026-07-08,VIB,0,26,26
2026-07-08,VIC,3,22,20
2026-07-08,VIX,0,119,119
2026-07-08,VJC,0,2,2
2026-07-08,VND,0,99,99
2026-07-08,VNM,0,38,38
2026-07-08,VPB,0,46,46
2026-07-08,VPI,0,0,0
2026-07-08,VPL,0,10,10
2026-07-08,VRE,0,42,42
2026-07-08,VSC,3,60,60
2026-07-08,VTP,0,9,9
